LGA_NAME16	FamilyComposition	families_with_children
Katherine (T)	Other couple family with other children only	17
Katherine (T)	Step family with no other children present	69
Katherine (T)	Step family with other children present	3
Litchfield (M)	Blended family with no other children present	152
Litchfield (M)	Blended family with other children present	3
Litchfield (M)	Intact family with no other children present	2025
Litchfield (M)	Intact family with other children present	31
Litchfield (M)	Other couple family with other children only	19
Litchfield (M)	Step family with no other children present	204
Litchfield (M)	Step family with other children present	3
MacDonnell (R)	Blended family with no other children present	9
MacDonnell (R)	Intact family with no other children present	297
MacDonnell (R)	Intact family with other children present	51
MacDonnell (R)	Other couple family with other children only	24
MacDonnell (R)	Step family with no other children present	29
MacDonnell (R)	Step family with other children present	10
Palmerston (C)	Blended family with no other children present	277
Palmerston (C)	Blended family with other children present	3
Palmerston (C)	Intact family with no other children present	3656
Palmerston (C)	Intact family with other children present	57
Palmerston (C)	Other couple family with other children only	26
Palmerston (C)	Step family with no other children present	364
Palmerston (C)	Step family with other children present	9
Roper Gulf (R)	Blended family with no other children present	23
Roper Gulf (R)	Blended family with other children present	7
Roper Gulf (R)	Intact family with no other children present	470
Roper Gulf (R)	Intact family with other children present	80
Roper Gulf (R)	Other couple family with other children only	37
Roper Gulf (R)	Step family with no other children present	28
Roper Gulf (R)	Step family with other children present	11
Tiwi Islands (R)	Blended family with no other children present	3
Tiwi Islands (R)	Intact family with no other children present	193
Tiwi Islands (R)	Intact family with other children present	18
Tiwi Islands (R)	Other couple family with other children only	9
Tiwi Islands (R)	Step family with no other children present	26
Tiwi Islands (R)	Step family with other children present	5
Victoria Daly (R)	Blended family with no other children present	12
Victoria Daly (R)	Intact family with no other children present	161
Victoria Daly (R)	Intact family with other children present	32
Victoria Daly (R)	Other couple family with other children only	13
Victoria Daly (R)	Step family with no other children present	18
Victoria Daly (R)	Step family with other children present	3
Wagait (S)	Blended family with no other children present	3
Wagait (S)	Intact family with no other children present	33
Wagait (S)	Step family with no other children present	5
West Arnhem (R)	Blended family with no other children present	14
West Arnhem (R)	Blended family with other children present	9
West Arnhem (R)	Intact family with no other children present	489
West Arnhem (R)	Intact family with other children present	82
West Arnhem (R)	Other couple family with other children only	25
West Arnhem (R)	Step family with no other children present	27
West Arnhem (R)	Step family with other children present	10
West Daly (R)	Blended family with no other children present	13
West Daly (R)	Blended family with other children present	5
West Daly (R)	Intact family with no other children present	265
West Daly (R)	Intact family with other children present	39
West Daly (R)	Other couple family with other children only	9
West Daly (R)	Step family with no other children present	11
West Daly (R)	Step family with other children present	5
Unincorporated NT	Blended family with no other children present	30
Unincorporated NT	Intact family with no other children present	582
Unincorporated NT	Intact family with other children present	7
Unincorporated NT	Step family with no other children present	57
Unincorporated ACT	Blended family with no other children present	1600
Unincorporated ACT	Blended family with other children present	23
Unincorporated ACT	Intact family with no other children present	42718
