SA2_NAME16	FamilyComposition	families_with_children
Brighton - Pontville	Blended family with no other children present	44
Brighton - Pontville	Intact family with no other children present	593
Brighton - Pontville	Intact family with other children present	3
Brighton - Pontville	Step family with no other children present	67
Brighton - Pontville	Step family with other children present	3
Old Beach - Otago	Blended family with no other children present	34
Old Beach - Otago	Intact family with no other children present	466
Old Beach - Otago	Intact family with other children present	3
Old Beach - Otago	Other couple family with other children only	3
Old Beach - Otago	Step family with no other children present	51
Bellerive - Rosny	Blended family with no other children present	24
Bellerive - Rosny	Intact family with no other children present	502
Bellerive - Rosny	Intact family with other children present	3
Bellerive - Rosny	Other couple family with other children only	3
Bellerive - Rosny	Step family with no other children present	58
Cambridge	Blended family with no other children present	56
Cambridge	Intact family with no other children present	895
Cambridge	Intact family with other children present	9
Cambridge	Other couple family with other children only	5
Cambridge	Step family with no other children present	83
Geilston Bay - Risdon	Blended family with no other children present	25
Geilston Bay - Risdon	Intact family with no other children present	304
Geilston Bay - Risdon	Intact family with other children present	4
Geilston Bay - Risdon	Step family with no other children present	42
Howrah - Tranmere	Blended family with no other children present	36
Howrah - Tranmere	Intact family with no other children present	1065
Howrah - Tranmere	Intact family with other children present	12
Howrah - Tranmere	Other couple family with other children only	6
Howrah - Tranmere	Step family with no other children present	102
Lindisfarne - Rose Bay	Blended family with no other children present	25
